,time,open,high,low,close,volume,ticker
802,2017-03-29,31540,32400,31540,31900,40960,IMP
803,2017-03-30,31900,33170,31840,33170,291920,IMP
804,2017-03-31,33430,34600,33430,34090,137730,IMP
805,2017-04-03,34200,34200,33170,33280,19550,IMP
806,2017-04-04,33890,33890,33070,33470,125250,IMP
807,2017-04-05,33680,33680,33070,33320,165960,IMP
808,2017-04-07,32659,33170,31390,32920,107730,IMP
809,2017-04-10,31690,32920,31690,32820,186900,IMP
810,2017-04-11,32400,33580,32150,33170,103800,IMP
811,2017-04-12,33280,33320,32049,32049,66280,IMP
812,2017-04-13,32049,32400,31640,31640,10150,IMP
813,2017-04-14,31390,31900,31180,31440,17780,IMP
814,2017-04-17,31640,31640,30620,30620,23740,IMP
815,2017-04-18,31180,31180,30210,31080,8850,IMP
816,2017-04-19,31130,31130,30930,31130,5050,IMP
817,2017-04-20,31130,31390,30930,31080,2990,IMP
818,2017-04-21,31130,31390,30930,31290,4920,IMP
819,2017-04-24,31640,32150,30620,30620,16900,IMP
820,2017-04-25,30620,30930,30370,30370,2600,IMP
821,2017-04-26,30370,31130,30370,30620,8330,IMP
822,2017-04-27,30210,31480,30210,30620,14450,IMP
823,2017-04-28,31640,31640,31130,31330,6940,IMP
824,2017-05-03,30620,31130,30620,30870,6240,IMP
825,2017-05-04,31130,31480,30870,31130,12640,IMP
826,2017-05-05,30620,31130,30620,30670,2810,IMP
827,2017-05-08,30620,30930,30620,30670,8050,IMP
828,2017-05-09,30210,30670,30210,30520,6170,IMP
829,2017-05-10,30520,30830,30520,30770,17880,IMP
830,2017-05-11,31130,31390,30770,30930,19150,IMP
831,2017-05-12,30930,30930,30470,30620,31180,IMP
832,2017-05-15,30620,31330,30570,30770,14330,IMP
833,2017-05-16,31130,31390,30870,31130,16230,IMP
834,2017-05-17,31290,31840,31290,31590,11760,IMP
835,2017-05-18,32049,32049,31130,31130,21370,IMP
836,2017-05-19,31390,31640,31390,31590,18220,IMP
837,2017-05-22,31590,31900,31230,31640,17820,IMP
838,2017-05-23,31540,31790,31290,31590,12070,IMP
839,2017-05-24,32990,32990,32210,32210,25490,IMP
840,2017-05-25,32210,32259,31700,32150,29500,IMP
841,2017-05-26,31640,32369,31640,32259,18520,IMP
842,2017-05-29,32259,32369,32090,32090,21000,IMP
843,2017-05-30,31870,32150,31870,31920,27190,IMP
844,2017-05-31,32040,32320,31980,32259,11850,IMP
845,2017-06-01,32090,32430,32040,32090,14740,IMP
846,2017-06-02,32090,32259,32090,32259,12420,IMP
847,2017-06-05,32259,32259,31640,32259,21400,IMP
848,2017-06-06,32150,32210,32040,32150,24390,IMP
849,2017-06-07,32150,32150,31640,32150,15830,IMP
850,2017-06-08,32369,33850,32150,33400,35190,IMP
851,2017-06-09,33290,33570,33290,33290,12470,IMP
852,2017-06-12,33850,33850,33060,33510,11860,IMP
853,2017-06-13,32710,33290,32710,33230,12890,IMP
854,2017-06-14,32880,33120,32710,32990,8540,IMP
855,2017-06-15,32940,33850,32940,32990,23020,IMP
856,2017-06-16,33290,35260,33230,35260,158710,IMP
857,2017-06-19,35540,35540,34980,35260,36280,IMP
858,2017-06-20,35200,35260,35140,35140,14270,IMP
859,2017-06-21,34750,35820,34750,35260,68820,IMP
860,2017-06-22,35260,37120,35260,36720,39290,IMP
861,2017-06-23,36210,38070,36210,37450,52140,IMP
862,2017-06-26,37450,37730,36660,36660,38450,IMP
863,2017-06-27,36660,36950,36380,36550,32020,IMP
864,2017-06-28,36550,36720,36210,36550,25060,IMP
865,2017-06-29,36380,36500,36330,36380,23000,IMP
866,2017-06-30,36330,36380,35540,35820,35720,IMP
867,2017-07-03,35820,36160,34130,35820,18130,IMP
868,2017-07-04,35820,35820,35540,35650,17240,IMP
869,2017-07-05,35820,35820,35540,35540,16320,IMP
870,2017-07-06,36380,36380,35820,36380,34470,IMP
871,2017-07-07,36380,36380,36100,36100,14220,IMP
872,2017-07-10,36100,36100,35540,36100,33330,IMP
873,2017-07-11,37170,37170,36100,36380,28970,IMP
874,2017-07-12,36660,36660,36100,36610,5350,IMP
875,2017-07-13,36380,36660,35820,36610,15830,IMP
876,2017-07-14,36500,36500,36050,36160,32290,IMP
877,2017-07-17,35820,36160,35590,36100,10040,IMP
878,2017-07-18,36100,36100,35310,36100,28870,IMP
879,2017-07-19,36660,38580,36610,38580,189410,IMP
880,2017-07-20,38920,40050,38920,39660,50940,IMP
881,2017-07-21,39660,41180,39490,39600,48060,IMP
882,2017-07-24,39550,39550,37280,38470,40850,IMP
883,2017-07-25,37790,38920,37790,38070,28100,IMP
884,2017-07-26,38070,39040,37790,38860,34120,IMP
885,2017-07-27,38470,39490,38350,39210,18250,IMP
886,2017-07-28,39210,39210,38070,38190,46600,IMP
887,2017-07-31,37790,38190,37680,37790,51510,IMP
888,2017-08-01,37790,38920,37790,38860,21980,IMP
889,2017-08-02,38350,38350,37850,38020,6730,IMP
890,2017-08-03,38130,38130,37790,37900,28390,IMP
891,2017-08-04,37850,39490,37850,38470,70160,IMP
892,2017-08-07,38920,38970,38350,38640,21740,IMP
893,2017-08-08,38640,38690,38190,38240,16390,IMP
